Symbol,Date,Close
NVDA,5/23/13,14.63
NVDA,5/24/13,14.54
NVDA,5/28/13,14.53
NVDA,5/29/13,14.44
NVDA,5/30/13,14.63
NVDA,5/31/13,14.47
NVDA,6/3/13,14.45
NVDA,6/4/13,14.47
NVDA,6/5/13,14.16
NVDA,6/6/13,14.25
NVDA,6/7/13,14.45
NVDA,6/10/13,14.44
NVDA,6/11/13,14.17
NVDA,6/12/13,14.05
NVDA,6/13/13,14.37
NVDA,6/14/13,14.35
NVDA,6/17/13,14.49
NVDA,6/18/13,14.4
NVDA,6/19/13,14.84
NVDA,6/20/13,14.44
NVDA,6/21/13,14.42
NVDA,6/24/13,14.12
NVDA,6/25/13,14.22
NVDA,6/26/13,14.14
NVDA,6/27/13,14.01
NVDA,6/28/13,14.04
NVDA,7/1/13,14.1
NVDA,7/2/13,14.09
NVDA,7/3/13,14.13
NVDA,7/5/13,14.24
NVDA,7/8/13,14.17
NVDA,7/9/13,14.24
NVDA,7/10/13,14.43
NVDA,7/11/13,14.63
NVDA,7/12/13,14.64
NVDA,7/15/13,14.61
NVDA,7/16/13,14.69
NVDA,7/17/13,14.61
NVDA,7/18/13,14.55
NVDA,7/19/13,14.24
NVDA,7/22/13,14.23
NVDA,7/23/13,14.21
NVDA,7/24/13,14.21
NVDA,7/25/13,14.26
NVDA,7/26/13,14.2
NVDA,7/29/13,14.17
NVDA,7/30/13,14.41
NVDA,7/31/13,14.44
NVDA,8/1/13,14.64
NVDA,8/2/13,14.76
NVDA,8/5/13,14.83
NVDA,8/6/13,14.61
NVDA,8/7/13,14.6
NVDA,8/8/13,14.7
NVDA,8/9/13,14.49
NVDA,8/12/13,14.37
NVDA,8/13/13,14.42
NVDA,8/14/13,15.03
NVDA,8/15/13,15.13
NVDA,8/16/13,15.19
NVDA,8/19/13,14.95
NVDA,8/20/13,14.95
NVDA,8/21/13,14.88
NVDA,8/22/13,14.96
NVDA,8/23/13,14.96
NVDA,8/26/13,14.99
NVDA,8/27/13,14.8
NVDA,8/28/13,14.8
NVDA,8/29/13,14.77
NVDA,8/30/13,14.75
NVDA,9/3/13,14.76
NVDA,9/4/13,14.9
NVDA,9/5/13,14.94
NVDA,9/6/13,14.88
NVDA,9/9/13,15.13
NVDA,9/10/13,15.45
NVDA,9/11/13,15.71
NVDA,9/12/13,15.7
NVDA,9/13/13,15.8
NVDA,9/16/13,15.81
NVDA,9/17/13,15.86
NVDA,9/18/13,16
NVDA,9/19/13,15.93
NVDA,9/20/13,15.79
NVDA,9/23/13,15.64
NVDA,9/24/13,15.7
NVDA,9/25/13,15.72
NVDA,9/26/13,15.67
NVDA,9/27/13,15.58
NVDA,9/30/13,15.56
NVDA,10/1/13,15.55
NVDA,10/2/13,15.54
NVDA,10/3/13,15.38
NVDA,10/4/13,15.59
NVDA,10/7/13,15.59
NVDA,10/8/13,15.46
NVDA,10/9/13,15.22
NVDA,10/10/13,15.39
NVDA,10/11/13,15.26
NVDA,10/14/13,15.49
NVDA,10/15/13,15.41
NVDA,10/16/13,15.6
NVDA,10/17/13,15.63
NVDA,10/18/13,15.81
NVDA,10/21/13,15.85
NVDA,10/22/13,15.77
NVDA,10/23/13,15.5
NVDA,10/24/13,15.39
NVDA,10/25/13,15.24
NVDA,10/28/13,15.21
NVDA,10/29/13,15.23
NVDA,10/30/13,15.22
NVDA,10/31/13,15.19
NVDA,11/1/13,15.26
NVDA,11/4/13,14.82
NVDA,11/5/13,14.8
NVDA,11/6/13,14.9
NVDA,11/7/13,14.55
NVDA,11/8/13,15.56
NVDA,11/11/13,15.69
NVDA,11/12/13,15.72
NVDA,11/13/13,16.15
NVDA,11/14/13,16.219999
